consent;result;subjectId;gender;age;vdaq_1;vdaq_2;vdaq_3;vdaq_4;vdaq_5;vdaq_6;vdaq_7;vdaq_8;vdaq_9;vdaq_10;vdaq_11;vdaq_12;vdaq_13;vdaq_14;vdaq_15;vdaq_16;asq_1;asq_2;asq_3;asq_4;asq_5;asq_6;asq_7;asq_8;asq_9;asq_10;asq_11;asq_12;ovs_1;ovs_2;ovs_3;ovs_4;ovs_5;ovs_6;ovs_7;ovs_8;ovs_9;ovs_10;ovs_11;ovs_12
1;1;3;1;26;3;4;4;4;4;4;4;2;1;3;3;2;4;4;3;4;6;1;3;2;3;3;5;4;3;2;5;1;5;3;2;2;5;5;5;2;2;4;5;3
1;1;5;2;26;3;4;2;3;4;2;3;2;1;2;4;4;3;3;3;2;5;2;2;5;6;6;2;5;6;3;5;2;5;5;3;4;4;4;4;4;2;2;2;2
1;1;4;1;28;3;1;4;4;2;3;2;3;1;3;3;4;4;4;1;2;5;2;6;6;4;6;2;6;6;5;1;4;3;2;1;2;4;4;2;2;4;5;5;3
1;1;6;2;25;3;2;4;2;2;3;3;3;2;2;3;3;4;3;3;2;3;5;2;2;5;4;4;5;2;4;5;2;4;3;2;2;3;4;3;2;2;4;4;3
1;1;9;2;26;3;2;2;4;3;2;2;3;2;2;4;4;3;3;2;2;4;2;4;1;6;2;6;4;4;4;5;2;2;2;2;2;3;4;2;2;1;1;1;1
1;1;1;2;27;2;3;1;4;4;0;3;4;1;3;4;4;4;4;2;2;5;4;6;5;3;4;3;6;6;5;4;5;3;3;1;2;5;4;5;4;2;2;5;3
1;1;8;1;30;3;3;4;3;4;3;4;3;3;2;3;3;3;3;3;2;4;4;4;3;5;4;3;5;5;3;4;3;4;4;3;4;4;4;4;3;4;3;4;4
1;1;11;2;22;3;2;3;4;4;3;3;2;2;3;0;3;4;4;2;2;4;3;4;4;6;5;5;5;4;3;4;4;3;0;1;1;4;4;4;2;4;4;4;3
1;1;14;1;38;3;4;3;3;4;3;3;2;2;2;3;3;3;4;2;2;5;3;4;3;2;3;3;3;1;4;4;3;4;3;2;2;4;4;4;3;3;3;3;2
1;1;13;1;55;3;4;3;3;3;4;2;3;3;2;2;3;3;2;2;2;5;3;3;2;4;2;4;2;3;2;4;3;2;1;1;1;2;2;2;2;1;1;2;2
1;1;10;2;23;3;3;1;2;4;3;3;3;2;3;3;4;4;3;3;2;3;5;4;2;5;4;3;4;5;3;3;3;3;3;1;3;3;4;4;3;2;4;5;4
1;1;12;2;21;3;4;2;4;4;3;3;2;2;4;4;4;4;3;;2;5;3;4;2;4;4;5;6;5;2;4;2;2;2;1;;5;5;4;3;3;3;3;4
1;1;2;1;31;3;3;3;4;4;3;3;3;1;2;3;3;4;2;3;3;5;3;3;5;5;5;3;5;3;2;3;3;3;1;2;2;3;2;3;2;3;2;2;2
1;1;15;1;22;3;3;2;4;4;3;4;3;2;1;3;3;4;3;3;2;6;3;5;4;4;4;3;6;5;3;2;0;5;4;3;3;4;3;2;3;4;0;3;0
1;1;16;1;30;1;3;2;3;4;2;4;2;1;2;0;4;4;3;2;2;2;2;4;2;5;5;3;6;4;3;3;3;5;4;2;3;5;4;4;4;2;2;4;2
1;1;18;2;25;2;2;1;4;4;0;4;1;4;3;1;2;3;4;2;2;4;5;1;2;5;2;5;2;2;3;4;3;2;2;2;3;4;5;5;4;2;3;3;3
1;1;17;1;25;3;2;3;4;4;3;4;4;2;4;2;4;4;3;3;2;3;4;2;2;4;4;3;4;3;4;3;4;4;3;2;3;4;4;4;3;3;4;4;3
1;1;22;2;30;3;3;1;2;4;4;0;3;3;2;0;0;3;2;0;2;5;3;5;2;5;4;3;4;5;4;5;3;3;2;2;2;3;1;2;2;2;2;2;2
1;1;23;1;34;3;2;1;3;4;4;2;2;1;3;4;4;4;0;2;2;5;2;2;2;4;3;2;5;5;3;5;1;4;2;4;3;4;4;3;2;4;4;5;4
1;1;19;1;43;3;3;1;4;4;3;1;3;2;2;3;2;2;4;1;2;1;6;5;1;2;1;4;4;2;6;1;6;4;4;2;2;4;5;4;4;4;4;4;3
1;1;21;1;39;3;3;1;3;4;3;3;2;1;3;3;3;2;3;2;2;3;4;4;1;4;4;3;4;4;4;3;4;3;4;4;3;4;3;3;3;2;3;4;3
1;1;25;1;31;4;3;3;3;4;4;2;3;1;2;3;3;4;3;2;2;4;3;2;3;3;5;6;4;2;2;4;2;3;2;3;1;4;4;4;3;2;3;3;2
1;1;20;2;25;4;2;4;4;4;3;4;4;3;4;4;4;4;4;4;4;6;3;2;5;5;5;6;5;5;3;5;2;5;5;3;5;5;5;4;4;5;5;5;5
1;1;28;2;32;3;2;2;1;3;3;2;2;3;3;3;3;4;3;2;1;2;6;6;2;6;2;3;5;5;6;1;4;3;4;2;2;2;2;4;2;3;5;5;2
1;1;27;1;27;4;3;3;4;4;3;4;1;1;3;2;2;4;4;1;1;5;2;5;2;4;3;1;6;6;2;5;2;5;2;1;1;4;5;4;3;4;5;2;4
1;2;29;2;20;3;3;2;4;4;3;4;2;4;4;4;4;4;4;2;3;6;4;3;6;6;5;2;5;6;3;4;2;5;4;1;5;4;4;5;4;5;5;4;4
1;2;26;2;28;3;2;2;4;4;3;3;4;3;3;4;2;3;1;2;3;4;5;5;2;5;6;2;4;4;5;3;4;4;4;2;1;3;4;2;1;4;2;3;3
