success,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,subjectId,cond,bal,view_history,rt,stimulus,key_press,accuracy,recall,stimuli,set_size
true,fullscreen,0,1031512,0.0-0.0,1,1,2022-05-10 07:53:40,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,1,a,,,,,,,,
,instructions,1,1035745,0.0-1.0,1,1,2022-05-10 07:53:40,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,1,a,"[{""page_index"":0,""viewing_time"":4229}]",4230,,,,,,
,html-keyboard-response,2,1036753,0.0-2.0-0.0-0.0,1,1,2022-05-10 07:53:40,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,1,a,,null,"<div style=""font-size:70px;"">F<br><br><br><br></div>",null,,,,
,html-button-operationspan,3,1039104,0.0-2.0-0.0-1.0,1,1,2022-05-10 07:53:40,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,1,a,,2349,"<div style=""font-size:46px;"">1 + 5 = 8<br><br><br><br></div>",,1,,,
,html-keyboard-response,4,1039107,0.0-2.0-0.0-2.0,1,1,2022-05-10 07:53:40,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,1,a,,null, ,null,,,,
,html-keyboard-response,5,1040121,0.0-2.0-0.0-0.1,1,1,2022-05-10 07:53:40,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,1,a,,null,"<div style=""font-size:70px;"">K<br><br><br><br></div>",null,,,,
,html-button-operationspan,6,1041864,0.0-2.0-0.0-1.1,1,1,2022-05-10 07:53:40,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,1,a,,1741,"<div style=""font-size:46px;"">6 - 3 = 3<br><br><br><br></div>",,1,,,
,html-keyboard-response,7,1041867,0.0-2.0-0.0-2.1,1,1,2022-05-10 07:53:40,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,1,a,,null, ,null,,,,
,html-keyboard-response,8,1042870,0.0-2.0-0.0-0.2,1,1,2022-05-10 07:53:40,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,1,a,,null,"<div style=""font-size:70px;"">R<br><br><br><br></div>",null,,,,
,html-button-operationspan,9,1045577,0.0-2.0-0.0-1.2,1,1,2022-05-10 07:53:40,c659a6312084527fc8e3c63841c4439b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,7,1,a,,2706,"<div style=""font-size:46px;"">6 - 5 = 1<br><br><br><br></div>",,1,,,
