success,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,subjectId,cond,bal,view_history,rt,stimulus,key_press,accuracy,recall,stimuli,set_size
true,fullscreen,0,2129121,0.0-0.0,11,1,2022-05-09 13:36:17,07e2e056772a877f89175bcd11545e20,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,1,1,a,,,,,,,,
,instructions,1,2131997,0.0-1.0,11,1,2022-05-09 13:36:17,07e2e056772a877f89175bcd11545e20,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,1,1,a,"[{""page_index"":0,""viewing_time"":2874}]",2874,,,,,,
,html-keyboard-response,2,2132999,0.0-2.0-0.0-0.0,11,1,2022-05-09 13:36:17,07e2e056772a877f89175bcd11545e20,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,1,1,a,,null,"<div style=""font-size:70px;"">Q<br><br><br><br></div>",null,,,,
,html-button-operationspan,3,2135638,0.0-2.0-0.0-1.0,11,1,2022-05-09 13:36:17,07e2e056772a877f89175bcd11545e20,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,1,1,a,,2635,"<div style=""font-size:46px;"">9 + 3 = 14<br><br><br><br></div>",,1,,,
,html-keyboard-response,4,2135641,0.0-2.0-0.0-2.0,11,1,2022-05-09 13:36:17,07e2e056772a877f89175bcd11545e20,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,1,1,a,,null, ,null,,,,
,html-keyboard-response,5,2136656,0.0-2.0-0.0-0.1,11,1,2022-05-09 13:36:17,07e2e056772a877f89175bcd11545e20,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,1,1,a,,null,"<div style=""font-size:70px;"">F<br><br><br><br></div>",null,,,,
,html-button-operationspan,6,2139054,0.0-2.0-0.0-1.1,11,1,2022-05-09 13:36:17,07e2e056772a877f89175bcd11545e20,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,1,1,a,,2396,"<div style=""font-size:46px;"">4 - 1 = 2<br><br><br><br></div>",,1,,,
,html-keyboard-response,7,2139057,0.0-2.0-0.0-2.1,11,1,2022-05-09 13:36:17,07e2e056772a877f89175bcd11545e20,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,1,1,a,,null, ,null,,,,
,html-keyboard-response,8,2140058,0.0-2.0-0.0-0.2,11,1,2022-05-09 13:36:17,07e2e056772a877f89175bcd11545e20,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,1,1,a,,null,"<div style=""font-size:70px;"">T<br><br><br><br></div>",null,,,,
,html-button-operationspan,9,2142453,0.0-2.0-0.0-1.2,11,1,2022-05-09 13:36:17,07e2e056772a877f89175bcd11545e20,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 Edg/101.0.1210.39",WebKit,Edge,101.0.1210.39,Windows,10.0,1,1,a,,2394,"<div style=""font-size:46px;"">7 + 8 = 16<br><br><br><br></div>",,0,,,
