subjectId,score_1,score_2,bal,gender,age,vdaq_1,vdaq_2,vdaq_3,vdaq_4,vdaq_5,vdaq_6,vdaq_7,vdaq_8,vdaq_9,vdaq_10,vdaq_11,vdaq_12,vdaq_13,vdaq_14,vdaq_15,vdaq_16,asq_1,asq_2,asq_3,asq_4,asq_5,asq_6,asq_7,asq_8,asq_9,asq_10,asq_11,asq_12,ovs_1,ovs_2,ovs_3,ovs_4,ovs_5,ovs_6,ovs_7,ovs_8,ovs_9,ovs_10,ovs_11,ovs_12,vdaq,asq_int,asq_ext,asq,ovs,ovs_salience,ovs_reactibility,ovs_monitoring
2,19,25,b,1,31,3,3,3,4.0,4.0,3.0,3.0,3,1,2,3.0,3.0,4,2.0,3.0,3,5,4,4.0,5,5,5,4,5,3,5,3,4.0,3,1.0,2,2.0,3,2,3,2,3,2.0,2,2.0,2.9375,4.428571428571429,4.2,4.333333333333333,2.25,2.0,2.5,2.25
3,18,21,a,1,26,3,4,4,4.0,4.0,4.0,4.0,2,1,3,3.0,2.0,4,4.0,3.0,4,6,6,4.0,2,3,3,2,4,3,5,5,6.0,5,3.0,2,2.0,5,5,5,2,2,4.0,5,3.0,3.3125,3.2857142857142856,5.2,4.083333333333333,3.5833333333333335,3.0,4.25,3.5
4,26,26,b,1,28,3,1,4,4.0,2.0,3.0,2.0,3,1,3,3.0,4.0,4,4.0,1.0,2,5,5,1.0,6,4,6,5,6,6,2,1,3.0,3,2.0,1,2.0,4,4,2,2,4,5.0,5,3.0,2.75,5.428571428571429,2.4,4.166666666666667,3.0833333333333335,2.0,3.0,4.25
5,22,21,a,2,26,3,4,2,3.0,4.0,2.0,3.0,2,1,2,4.0,4.0,3,3.0,3.0,2,5,5,5.0,5,6,6,5,5,6,4,5,5.0,5,5.0,3,4.0,4,4,4,4,2,2.0,2,2.0,2.8125,5.428571428571429,4.8,5.166666666666667,3.4166666666666665,4.25,4.0,2.0
6,28,30,b,2,25,3,2,4,2.0,2.0,3.0,3.0,3,2,2,3.0,3.0,4,3.0,3.0,2,3,2,5.0,2,5,4,3,5,2,3,5,5.0,4,3.0,2,2.0,3,4,3,2,2,4.0,4,3.0,2.75,3.2857142857142856,4.2,3.6666666666666665,3.0,2.75,3.0,3.25
8,30,28,b,1,30,3,3,4,3.0,4.0,3.0,4.0,3,3,2,3.0,3.0,3,3.0,3.0,2,4,3,3.0,3,5,4,4,5,5,4,4,4.0,4,4.0,3,4.0,4,4,4,3,4,3.0,4,4.0,3.0625,4.142857142857143,3.8,4.0,3.75,3.75,3.75,3.75
9,30,26,a,2,26,3,2,2,4.0,3.0,2.0,2.0,3,2,2,4.0,4.0,3,3.0,2.0,2,4,5,3.0,1,6,2,1,4,4,3,5,5.0,2,2.0,2,2.0,3,4,2,2,1,1.0,1,1.0,2.6875,3.2857142857142856,4.0,3.5833333333333335,1.9166666666666667,2.0,2.75,1.0
10,30,30,b,2,23,3,3,1,2.0,4.0,3.0,3.0,3,2,3,3.0,4.0,4,3.0,3.0,2,3,2,3.0,2,5,4,4,4,5,4,3,4.0,3,3.0,1,3.0,3,4,4,3,2,4.0,5,4.0,2.875,3.7142857142857144,3.4,3.5833333333333335,3.25,2.5,3.5,3.75
11,25,30,a,2,22,3,2,3,4.0,4.0,3.0,3.0,2,2,3,,3.0,4,4.0,2.0,2,4,4,3.0,4,6,5,2,5,4,4,4,3.0,3,,1,1.0,4,4,4,2,4,4.0,4,3.0,2.933333333333333,4.285714285714286,3.6,4.0,3.090909090909091,1.6666666666666667,3.5,3.75
12,29,30,b,2,21,3,4,2,4.0,4.0,3.0,3.0,2,2,4,4.0,4.0,4,3.0,,2,5,4,3.0,2,4,4,2,6,5,5,4,5.0,2,2.0,1,,5,5,4,3,3,3.0,3,4.0,3.2,3.857142857142857,4.4,4.083333333333333,3.1818181818181817,1.6666666666666667,4.25,3.25
